# NEPTS  2002 NPROJ     3 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
 -1.2199E-01  1.1607E+01  1.1607E+01  9.9679E+01
 -1.2161E-01  1.1284E+01  1.1284E+01  9.5920E+01
 -1.2122E-01  1.1113E+01  1.1113E+01  9.3654E+01
 -1.2084E-01  1.1141E+01  1.1141E+01  9.3271E+01
 -1.2046E-01  1.1410E+01  1.1410E+01  9.5085E+01
 -1.2007E-01  1.1950E+01  1.1950E+01  9.9280E+01
 -1.1969E-01  1.2767E+01  1.2767E+01  1.0584E+02
 -1.1930E-01  1.3838E+01  1.3838E+01  1.1444E+02
 -1.1892E-01  1.5093E+01  1.5093E+01  1.2440E+02
 -1.1854E-01  1.6398E+01  1.6398E+01  1.3449E+02
 -1.1815E-01  1.6576E+01  1.6576E+01  1.3536E+02
 -1.1777E-01  1.5147E+01  1.5147E+01  1.2360E+02
 -1.1739E-01  1.4209E+01  1.4209E+01  1.1585E+02
 -1.1700E-01  1.4505E+01  1.4505E+01  1.1820E+02
 -1.1662E-01  1.4734E+01  1.4734E+01  1.2000E+02
 -1.1623E-01  1.4958E+01  1.4958E+01  1.2181E+02
 -1.1585E-01  1.5436E+01  1.5436E+01  1.2596E+02
 -1.1547E-01  1.5846E+01  1.5846E+01  1.2955E+02
 -1.1508E-01  1.6188E+01  1.6188E+01  1.3261E+02
 -1.1470E-01  1.6204E+01  1.6204E+01  1.3365E+02
 -1.1432E-01  1.6073E+01  1.6073E+01  1.3379E+02
 -1.1393E-01  1.6007E+01  1.6007E+01  1.3421E+02
 -1.1355E-01  1.5961E+01  1.5961E+01  1.3460E+02
 -1.1317E-01  1.5902E+01  1.5902E+01  1.3471E+02
 -1.1278E-01  1.5804E+01  1.5804E+01  1.3439E+02
 -1.1240E-01  1.5651E+01  1.5651E+01  1.3354E+02
 -1.1201E-01  1.5433E+01  1.5433E+01  1.3208E+02
 -1.1163E-01  1.5146E+01  1.5146E+01  1.3001E+02
 -1.1125E-01  1.4789E+01  1.4789E+01  1.2733E+02
 -1.1086E-01  1.4366E+01  1.4366E+01  1.2410E+02
 -1.1048E-01  1.3883E+01  1.3883E+01  1.2036E+02
