# NEPTS  2002 NPROJ     3 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
 -9.9421E-03  3.2215E+00  3.2215E+00  1.2458E+02
 -9.5583E-03  3.2265E+00  3.2265E+00  1.2224E+02
 -9.1746E-03  3.2125E+00  3.2125E+00  1.1904E+02
 -8.7909E-03  3.1742E+00  3.1742E+00  1.1491E+02
 -8.4071E-03  3.1071E+00  3.1071E+00  1.0987E+02
 -8.0234E-03  3.0076E+00  3.0076E+00  1.0396E+02
 -7.6397E-03  2.8742E+00  2.8742E+00  9.7304E+01
 -7.2560E-03  2.7072E+00  2.7072E+00  9.0080E+01
 -6.8722E-03  2.5095E+00  2.5095E+00  8.2530E+01
 -6.4885E-03  2.2865E+00  2.2865E+00  7.4945E+01
 -6.1048E-03  2.0466E+00  2.0466E+00  6.7650E+01
 -5.7210E-03  1.8006E+00  1.8006E+00  6.0980E+01
 -5.3373E-03  1.5615E+00  1.5615E+00  5.5251E+01
 -4.9536E-03  1.3433E+00  1.3433E+00  5.0723E+01
 -4.5699E-03  1.1600E+00  1.1600E+00  4.7560E+01
 -4.1861E-03  1.0235E+00  1.0235E+00  4.5777E+01
 -3.8024E-03  9.4068E-01  9.4068E-01  4.5193E+01
 -3.4187E-03  9.1025E-01  9.1025E-01  4.5379E+01
 -3.0349E-03  9.1793E-01  9.1793E-01  4.5603E+01
 -2.6512E-03  9.3094E-01  9.3094E-01  4.4794E+01
 -2.2675E-03  8.9090E-01  8.9090E-01  4.1503E+01
 -1.8838E-03  6.9156E-01  6.9156E-01  3.2755E+01
 -1.5000E-03  4.0047E-01  4.0047E-01  1.9910E+01
 -1.1163E-03  2.0105E-01  2.0105E-01  9.9992E+00
 -7.3257E-04  1.2322E-01  1.2322E-01  6.2643E+00
 -3.4884E-04  6.3434E-02  6.3434E-02  3.3278E+00
  3.4892E-05  0.0000E+00  0.0000E+00  0.0000E+00
  4.1862E-04  0.0000E+00  0.0000E+00  0.0000E+00
  8.0235E-04  0.0000E+00  0.0000E+00  0.0000E+00
  1.1861E-03  0.0000E+00  0.0000E+00  0.0000E+00
  1.5698E-03  0.0000E+00  0.0000E+00  0.0000E+00
  1.9535E-03  0.0000E+00  0.0000E+00  0.0000E+00
  2.3373E-03  0.0000E+00  0.0000E+00  0.0000E+00
  2.7210E-03  0.0000E+00  0.0000E+00  0.0000E+00
  3.1047E-03  0.0000E+00  0.0000E+00  0.0000E+00
  3.4885E-03  0.0000E+00  0.0000E+00  0.0000E+00
  3.8722E-03  0.0000E+00  0.0000E+00  0.0000E+00
  4.2559E-03  0.0000E+00  0.0000E+00  0.0000E+00
  4.6396E-03  0.0000E+00  0.0000E+00  0.0000E+00
  5.0234E-03  0.0000E+00  0.0000E+00  0.0000E+00
  5.4071E-03  0.0000E+00  0.0000E+00  0.0000E+00
  5.7908E-03  0.0000E+00  0.0000E+00  0.0000E+00
  6.1746E-03  0.0000E+00  0.0000E+00  0.0000E+00
  6.5583E-03  0.0000E+00  0.0000E+00  0.0000E+00
  6.9420E-03  0.0000E+00  0.0000E+00  0.0000E+00
  7.3257E-03  0.0000E+00  0.0000E+00  0.0000E+00
  7.7095E-03  0.0000E+00  0.0000E+00  0.0000E+00
  8.0932E-03  0.0000E+00  0.0000E+00  0.0000E+00
  8.4769E-03  0.0000E+00  0.0000E+00  0.0000E+00
  8.8607E-03  0.0000E+00  0.0000E+00  0.0000E+00
  9.2444E-03  0.0000E+00  0.0000E+00  0.0000E+00
  9.6281E-03  0.0000E+00  0.0000E+00  0.0000E+00
  1.0012E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.0396E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.0779E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.1163E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.1547E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.1930E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.2314E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.2698E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.3082E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.3465E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.3849E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.4233E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.4617E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.5000E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.5384E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.5768E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.6152E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.6535E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.6919E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.7303E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.7686E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.8070E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.8454E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.8838E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.9221E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.9605E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.9989E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.0373E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.0756E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.1140E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.1524E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.1907E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.2291E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.2675E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.3059E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.3442E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.3826E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.4210E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.4594E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.4977E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.5361E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.5745E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.6128E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.6512E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.6896E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.7280E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.7663E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.8047E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.8431E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.8815E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.9198E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.9582E-02  0.0000E+00  0.0000E+00  0.0000E+00
  2.9966E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.0349E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.0733E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.1117E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.1501E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.1884E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.2268E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.2652E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.3036E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.3419E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.3803E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.4187E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.4570E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.4954E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.5338E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.5722E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.6105E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.6489E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.6873E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.7257E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.7640E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.8024E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.8408E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.8792E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.9175E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.9559E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.9943E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.0326E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.0710E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.1094E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.1478E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.1861E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.2245E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.2629E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.3013E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.3396E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.3780E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.4164E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.4547E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.4931E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.5315E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.5699E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.6082E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.6466E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.6850E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.7234E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.7617E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.8001E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.8385E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.8768E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.9152E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.9536E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.9920E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.0303E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.0687E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.1071E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.1455E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.1838E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.2222E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.2606E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.2989E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.3373E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.3757E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.4141E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.4524E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.4908E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.5292E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.5676E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.6059E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.6443E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.6827E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.7210E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.7594E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.7978E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.8362E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.8745E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.9129E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.9513E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.9897E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.0280E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.0664E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.1048E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.1432E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.1815E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.2199E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.2583E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.2966E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.3350E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.3734E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.4118E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.4501E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.4885E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.5269E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.5653E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.6036E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.6420E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.6804E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.7187E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.7571E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.7955E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.8339E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.8722E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.9106E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.9490E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.9874E-02  0.0000E+00  0.0000E+00  0.0000E+00
  7.0257E-02  0.0000E+00  0.0000E+00  0.0000E+00
  7.0641E-02  0.0000E+00  0.0000E+00  0.0000E+00
  7.1025E-02  0.0000E+00  0.0000E+00  0.0000E+00
  7.1408E-02  0.0000E+00  0.0000E+00  0.0000E+00
  7.1792E-02  0.0000E+00  0.0000E+00  0.0000E+00
  7.2176E-02  0.0000E+00  0.0000E+00  0.0000E+00
  7.2560E-02  0.0000E+00  0.0000E+00  0.0000E+00
  7.2943E-02  0.0000E+00  0.0000E+00  0.0000E+00
  7.3327E-02  6.0027E-01  6.0027E-01  1.3313E+00
  7.3711E-02  1.4091E+00  1.4091E+00  3.1250E+00
  7.4095E-02  2.2180E+00  2.2180E+00  4.9188E+00
  7.4478E-02  1.8173E+00  1.8173E+00  4.0846E+00
  7.4862E-02  1.1056E+00  1.1056E+00  2.5111E+00
  7.5246E-02  4.0840E-01  4.0840E-01  9.3341E-01
  7.5629E-02 -1.4358E-01 -1.4358E-01 -3.4100E-01
  7.6013E-02 -4.7989E-01 -4.7989E-01 -1.1434E+00
  7.6397E-02 -5.7489E-01 -5.7489E-01 -1.4081E+00
  7.6781E-02 -4.3495E-01 -4.3495E-01 -1.1438E+00
  7.7164E-02 -8.7996E-02 -8.7996E-02 -4.0917E-01
  7.7548E-02  4.2484E-01  4.2484E-01  7.0585E-01
  7.7932E-02  1.0558E+00  1.0558E+00  2.0953E+00
  7.8316E-02  1.7557E+00  1.7557E+00  3.6488E+00
  7.8699E-02  2.4774E+00  2.4774E+00  5.2601E+00
  7.9083E-02  3.1788E+00  3.1788E+00  6.8337E+00
  7.9467E-02  3.8244E+00  3.8244E+00  8.2883E+00
  7.9851E-02  4.3862E+00  4.3862E+00  9.5597E+00
  8.0234E-02  4.8443E+00  4.8443E+00  1.0602E+01
  8.0618E-02  5.1868E+00  5.1868E+00  1.1385E+01
  8.1002E-02  5.4089E+00  5.4089E+00  1.1898E+01
  8.1385E-02  5.5129E+00  5.5129E+00  1.2145E+01
  8.1769E-02  5.5066E+00  5.5066E+00  1.2142E+01
  8.2153E-02  5.4028E+00  5.4028E+00  1.1916E+01
  8.2537E-02  5.2176E+00  5.2176E+00  1.1504E+01
  8.2920E-02  4.9701E+00  4.9701E+00  1.0946E+01
  8.3304E-02  4.6804E+00  4.6804E+00  1.0290E+01
  8.3688E-02  4.3694E+00  4.3694E+00  9.5809E+00
  8.4072E-02  4.0576E+00  4.0576E+00  8.8659E+00
  8.4455E-02  3.7641E+00  3.7641E+00  8.1883E+00
  8.4839E-02  3.5062E+00  3.5062E+00  7.5880E+00
  8.5223E-02  3.2990E+00  3.2990E+00  7.0991E+00
  8.5606E-02  3.1545E+00  3.1545E+00  6.7500E+00
  8.5990E-02  4.2654E+00  4.2654E+00  9.1146E+00
  8.6374E-02  6.4246E+00  6.4246E+00  1.3748E+01
  8.6758E-02  7.7749E+00  7.7749E+00  1.6660E+01
  8.7141E-02  6.4318E+00  6.4318E+00  1.3773E+01
  8.7525E-02  4.3202E+00  4.3202E+00  9.2171E+00
  8.7909E-02  2.4234E+00  2.4234E+00  5.1242E+00
  8.8293E-02  1.2620E+00  1.2620E+00  2.6243E+00
  8.8676E-02  1.0303E+00  1.0303E+00  2.1423E+00
  8.9060E-02  1.7052E+00  1.7052E+00  3.6310E+00
  8.9444E-02  3.1302E+00  3.1302E+00  6.7540E+00
  8.9827E-02  5.0792E+00  5.0792E+00  1.1023E+01
  9.0211E-02  7.3037E+00  7.3037E+00  1.5900E+01
  9.0595E-02  9.5658E+00  9.5658E+00  2.0868E+01
  9.0979E-02  1.1660E+01  1.1660E+01  2.5480E+01
  9.1362E-02  1.3426E+01  1.3426E+01  2.9386E+01
  9.1746E-02  1.4754E+01  1.4754E+01  3.2347E+01
  9.2130E-02  1.5587E+01  1.5587E+01  3.4233E+01
  9.2514E-02  1.5914E+01  1.5914E+01  3.5018E+01
  9.2897E-02  1.5768E+01  1.5768E+01  3.4770E+01
  9.3281E-02  1.5215E+01  1.5215E+01  3.3628E+01
  9.3665E-02  1.4347E+01  1.4347E+01  3.1788E+01
  9.4048E-02  1.3272E+01  1.3272E+01  2.9485E+01
  9.4432E-02  1.2108E+01  1.2108E+01  2.6970E+01
  9.4816E-02  1.0973E+01  1.0973E+01  2.4500E+01
  9.5200E-02  9.9789E+00  9.9789E+00  2.2317E+01
  9.5583E-02  9.2259E+00  9.2259E+00  2.0639E+01
  9.5967E-02  8.7987E+00  8.7987E+00  1.9651E+01
  9.6351E-02  8.7628E+00  8.7628E+00  1.9497E+01
  9.6735E-02  9.1629E+00  9.1629E+00  2.0277E+01
  9.7118E-02  1.0022E+01  1.0022E+01  2.2044E+01
  9.7502E-02  1.1344E+01  1.1344E+01  2.4808E+01
  9.7886E-02  1.3110E+01  1.3110E+01  2.8534E+01
  9.8269E-02  1.5286E+01  1.5286E+01  3.3150E+01
  9.8653E-02  1.7823E+01  1.7823E+01  3.8552E+01
  9.9037E-02  2.0660E+01  2.0660E+01  4.4613E+01
  9.9421E-02  2.3727E+01  2.3727E+01  5.1184E+01
  9.9804E-02  2.6952E+01  2.6952E+01  5.8110E+01
  1.0019E-01  3.0260E+01  3.0260E+01  6.5230E+01
  1.0057E-01  3.3580E+01  3.3580E+01  7.2391E+01
  1.0096E-01  3.6844E+01  3.6844E+01  7.9449E+01
  1.0134E-01  3.9996E+01  3.9996E+01  8.6280E+01
  1.0172E-01  4.2988E+01  4.2988E+01  9.2780E+01
  1.0211E-01  4.5784E+01  4.5784E+01  9.8873E+01
  1.0249E-01  4.8363E+01  4.8363E+01  1.0451E+02
  1.0287E-01  5.0718E+01  5.0718E+01  1.0967E+02
  1.0326E-01  5.2854E+01  5.2854E+01  1.1437E+02
  1.0364E-01  5.4791E+01  5.4791E+01  1.1865E+02
  1.0403E-01  5.6559E+01  5.6559E+01  1.2257E+02
  1.0441E-01  5.8201E+01  5.8201E+01  1.2621E+02
  1.0479E-01  5.9765E+01  5.9765E+01  1.2970E+02
  1.0518E-01  6.1308E+01  6.1308E+01  1.3313E+02
  1.0556E-01  6.2886E+01  6.2886E+01  1.3665E+02
  1.0594E-01  6.4560E+01  6.4560E+01  1.4036E+02
  1.0633E-01  6.6383E+01  6.6383E+01  1.4440E+02
  1.0671E-01  6.8406E+01  6.8406E+01  1.4887E+02
  1.0710E-01  7.0669E+01  7.0669E+01  1.5386E+02
  1.0748E-01  7.3203E+01  7.3203E+01  1.5944E+02
  1.0786E-01  7.6023E+01  7.6023E+01  1.6564E+02
  1.0825E-01  7.9131E+01  7.9131E+01  1.7246E+02
  1.0863E-01  8.2513E+01  8.2513E+01  1.7988E+02
  1.0901E-01  8.6137E+01  8.6137E+01  1.8784E+02
  1.0940E-01  8.9954E+01  8.9954E+01  1.9622E+02
  1.0978E-01  9.3898E+01  9.3898E+01  2.0489E+02
  1.1017E-01  9.7890E+01  9.7890E+01  2.1368E+02
  1.1055E-01  1.0184E+02  1.0184E+02  2.2238E+02
  1.1093E-01  1.0563E+02  1.0563E+02  2.3078E+02
  1.1132E-01  1.0916E+02  1.0916E+02  2.3863E+02
  1.1170E-01  1.1232E+02  1.1232E+02  2.4569E+02
  1.1208E-01  1.1498E+02  1.1498E+02  2.5169E+02
  1.1247E-01  1.1703E+02  1.1703E+02  2.5640E+02
  1.1285E-01  1.1837E+02  1.1837E+02  2.5959E+02
  1.1323E-01  1.1892E+02  1.1892E+02  2.6106E+02
  1.1362E-01  1.2256E+02  1.2256E+02  2.6964E+02
  1.1400E-01  1.2802E+02  1.2802E+02  2.8244E+02
  1.1439E-01  1.2399E+02  1.2399E+02  2.7369E+02
  1.1477E-01  1.1814E+02  1.1814E+02  2.6075E+02
  1.1515E-01  1.1288E+02  1.1288E+02  2.4930E+02
  1.1554E-01  1.0900E+02  1.0900E+02  2.4117E+02
  1.1592E-01  1.0633E+02  1.0633E+02  2.3600E+02
  1.1630E-01  1.0429E+02  1.0429E+02  2.3235E+02
  1.1669E-01  1.0217E+02  1.0217E+02  2.2859E+02
  1.1707E-01  9.9377E+01  9.9377E+01  2.2328E+02
  1.1746E-01  9.5550E+01  9.5550E+01  2.1552E+02
  1.1784E-01  9.0581E+01  9.0581E+01  2.0502E+02
  1.1822E-01  8.4620E+01  8.4620E+01  1.9208E+02
  1.1861E-01  7.8025E+01  7.8025E+01  1.7749E+02
  1.1899E-01  7.1298E+01  7.1298E+01  1.6238E+02
  1.1937E-01  6.5018E+01  6.5018E+01  1.4807E+02
  1.1976E-01  5.9762E+01  5.9762E+01  1.3589E+02
  1.2014E-01  5.6038E+01  5.6038E+01  1.2704E+02
  1.2053E-01  5.4234E+01  5.4234E+01  1.2244E+02
  1.2091E-01  5.4571E+01  5.4571E+01  1.2263E+02
  1.2129E-01  5.7083E+01  5.7083E+01  1.2776E+02
  1.2168E-01  6.1607E+01  6.1607E+01  1.3750E+02
  1.2206E-01  6.7800E+01  6.7800E+01  1.5114E+02
  1.2244E-01  7.5173E+01  7.5173E+01  1.6762E+02
  1.2283E-01  8.3147E+01  8.3147E+01  1.8565E+02
  1.2321E-01  9.1133E+01  9.1133E+01  2.0390E+02
  1.2360E-01  9.8633E+01  9.8633E+01  2.2121E+02
  1.2398E-01  1.0537E+02  1.0537E+02  2.3685E+02
  1.2436E-01  1.2222E+02  1.2222E+02  2.7414E+02
  1.2475E-01  1.2656E+02  1.2656E+02  2.8426E+02
  1.2513E-01  1.3838E+02  1.3838E+02  3.0960E+02
  1.2551E-01  1.5682E+02  1.5682E+02  3.5043E+02
  1.2590E-01  1.7607E+02  1.7607E+02  3.9480E+02
  1.2628E-01  1.9068E+02  1.9068E+02  4.2971E+02
  1.2667E-01  2.0059E+02  2.0059E+02  4.5440E+02
  1.2705E-01  2.0642E+02  2.0642E+02  4.6981E+02
  1.2743E-01  2.0872E+02  2.0872E+02  4.7705E+02
  1.2782E-01  2.0782E+02  2.0782E+02  4.7678E+02
  1.2820E-01  2.0379E+02  2.0379E+02  4.6931E+02
  1.2858E-01  1.9666E+02  1.9666E+02  4.5476E+02
  1.2897E-01  1.8654E+02  1.8654E+02  4.3340E+02
  1.2935E-01  1.7375E+02  1.7375E+02  4.0590E+02
  1.2974E-01  1.6767E+02  1.6767E+02  3.9380E+02
  1.3012E-01  1.6772E+02  1.6772E+02  3.9561E+02
  1.3050E-01  1.6554E+02  1.6554E+02  3.9187E+02
  1.3089E-01  1.4847E+02  1.4847E+02  3.5370E+02
  1.3127E-01  1.3198E+02  1.3198E+02  3.1568E+02
  1.3165E-01  1.1715E+02  1.1715E+02  2.8072E+02
  1.3204E-01  1.0465E+02  1.0465E+02  2.5070E+02
  1.3242E-01  9.4672E+01  9.4672E+01  2.2643E+02
  1.3281E-01  8.7061E+01  8.7061E+01  2.0780E+02
  1.3319E-01  8.1751E+01  8.1751E+01  1.9491E+02
  1.3357E-01  7.8614E+01  7.8614E+01  1.8761E+02
  1.3396E-01  7.5945E+01  7.5945E+01  1.8178E+02
  1.3434E-01  7.1413E+01  7.1413E+01  1.7164E+02
  1.3472E-01  6.6581E+01  6.6581E+01  1.6100E+02
  1.3511E-01  6.1198E+01  6.1198E+01  1.4905E+02
  1.3549E-01  5.5316E+01  5.5316E+01  1.3574E+02
  1.3587E-01  4.9237E+01  4.9237E+01  1.2172E+02
  1.3626E-01  4.3438E+01  4.3438E+01  1.0815E+02
  1.3664E-01  3.8459E+01  3.8459E+01  9.6460E+01
  1.3703E-01  3.4773E+01  3.4773E+01  8.7939E+01
  1.3741E-01  3.2666E+01  3.2666E+01  8.3369E+01
  1.3779E-01  3.2138E+01  3.2138E+01  8.2672E+01
  1.3818E-01  3.2852E+01  3.2852E+01  8.4731E+01
  1.3856E-01  3.4146E+01  3.4146E+01  8.7519E+01
  1.3894E-01  3.5093E+01  3.5093E+01  8.8714E+01
  1.3933E-01  3.4589E+01  3.4589E+01  8.6887E+01
  1.3971E-01  3.2489E+01  3.2489E+01  8.3076E+01
  1.4010E-01  3.2527E+01  3.2527E+01  8.3217E+01
  1.4048E-01  3.2790E+01  3.2790E+01  8.3815E+01
  1.4086E-01  3.3103E+01  3.3103E+01  8.4546E+01
  1.4125E-01  3.3460E+01  3.3460E+01  8.5400E+01
  1.4163E-01  3.3852E+01  3.3852E+01  8.6366E+01
  1.4201E-01  3.4275E+01  3.4275E+01  8.7436E+01
  1.4240E-01  3.4724E+01  3.4724E+01  8.8604E+01
  1.4278E-01  3.5197E+01  3.5197E+01  8.9869E+01
  1.4317E-01  3.5695E+01  3.5695E+01  9.1232E+01
  1.4355E-01  3.6219E+01  3.6219E+01  9.2699E+01
  1.4393E-01  3.6773E+01  3.6773E+01  9.4278E+01
  1.4432E-01  3.7364E+01  3.7364E+01  9.5982E+01
  1.4470E-01  3.7997E+01  3.7997E+01  9.7825E+01
  1.4508E-01  3.8680E+01  3.8680E+01  9.9822E+01
  1.4547E-01  3.9422E+01  3.9422E+01  1.0199E+02
  1.4585E-01  4.0228E+01  4.0228E+01  1.0434E+02
  1.4624E-01  4.1106E+01  4.1106E+01  1.0688E+02
  1.4662E-01  4.2060E+01  4.2060E+01  1.0962E+02
  1.4700E-01  4.3092E+01  4.3092E+01  1.1256E+02
  1.4739E-01  4.4203E+01  4.4203E+01  1.1570E+02
  1.4777E-01  4.5391E+01  4.5391E+01  1.1902E+02
  1.4815E-01  4.6649E+01  4.6649E+01  1.2250E+02
  1.4854E-01  4.7968E+01  4.7968E+01  1.2612E+02
  1.4892E-01  4.9336E+01  4.9336E+01  1.2984E+02
  1.4931E-01  5.0737E+01  5.0737E+01  1.3361E+02
  1.4969E-01  5.2152E+01  5.2152E+01  1.3739E+02
  1.5007E-01  5.3559E+01  5.3559E+01  1.4112E+02
  1.5046E-01  5.4933E+01  5.4933E+01  1.4473E+02
  1.5084E-01  5.6249E+01  5.6249E+01  1.4816E+02
