  5.70010E+01  1.75436E+05  9.12223E+00  3.03142E-02  5.32031E+00  7.05700E-03
  5.80010E+01  1.72411E+05  9.13448E+00  3.09860E-02  5.32316E+00  7.19383E-03
  5.90010E+01  1.69489E+05  9.14700E+00  3.16663E-02  5.32607E+00  7.33137E-03
  6.00010E+01  1.66664E+05  9.15980E+00  3.23551E-02  5.32903E+00  7.46965E-03
  6.10010E+01  1.63932E+05  9.17287E+00  3.30529E-02  5.33204E+00  7.60868E-03
  6.20010E+01  1.61288E+05  9.18623E+00  3.37600E-02  5.33511E+00  7.74848E-03
  6.30010E+01  1.58728E+05  9.19987E+00  3.44764E-02  5.33824E+00  7.88906E-03
  6.40010E+01  1.56248E+05  9.21379E+00  3.52027E-02  5.34142E+00  8.03045E-03
  6.50010E+01  1.53844E+05  9.22801E+00  3.59390E-02  5.34466E+00  8.17265E-03
  6.60010E+01  1.51513E+05  9.24253E+00  3.66856E-02  5.34796E+00  8.31569E-03
  6.70010E+01  1.49252E+05  9.25735E+00  3.74429E-02  5.35131E+00  8.45959E-03
  6.80010E+01  1.47057E+05  9.27247E+00  3.82112E-02  5.35473E+00  8.60436E-03
  6.90010E+01  1.44925E+05  9.28790E+00  3.89908E-02  5.35820E+00  8.75002E-03
  7.00010E+01  1.42855E+05  9.30364E+00  3.97820E-02  5.36172E+00  8.89658E-03
  7.10010E+01  1.40843E+05  9.31970E+00  4.05853E-02  5.36531E+00  9.04408E-03
  7.20010E+01  1.38887E+05  9.33609E+00  4.14009E-02  5.36896E+00  9.19252E-03
  7.30010E+01  1.36984E+05  9.35281E+00  4.22292E-02  5.37266E+00  9.34192E-03
  7.40010E+01  1.35133E+05  9.36985E+00  4.30707E-02  5.37643E+00  9.49231E-03
  7.50010E+01  1.33332E+05  9.38724E+00  4.39258E-02  5.38026E+00  9.64371E-03
  7.60010E+01  1.31577E+05  9.40497E+00  4.47948E-02  5.38414E+00  9.79613E-03
  7.70010E+01  1.29868E+05  9.42306E+00  4.56781E-02  5.38809E+00  9.94959E-03
  7.80010E+01  1.28203E+05  9.44149E+00  4.65763E-02  5.39210E+00  1.01041E-02
  7.90010E+01  1.26581E+05  9.46029E+00  4.74897E-02  5.39617E+00  1.02597E-02
  8.00010E+01  1.24998E+05  9.47946E+00  4.84190E-02  5.40031E+00  1.04165E-02
  8.10010E+01  1.23455E+05  9.49900E+00  4.93644E-02  5.40450E+00  1.05743E-02
  8.20010E+01  1.21950E+05  9.51893E+00  5.03266E-02  5.40876E+00  1.07333E-02
  8.30010E+01  1.20480E+05  9.53924E+00  5.13061E-02  5.41309E+00  1.08935E-02
  8.40010E+01  1.19046E+05  9.55994E+00  5.23035E-02  5.41748E+00  1.10549E-02
  8.50010E+01  1.17646E+05  9.58105E+00  5.33192E-02  5.42193E+00  1.12175E-02
