  4.10010E+01  2.43896E+05  8.02902E+01  3.67863E-01 -5.70627E-05  2.78992E+01  5.23263E-02 -6.72259E-05
  4.20010E+01  2.38090E+05  8.04393E+01  3.78370E-01 -5.84750E-05  2.79204E+01  5.36920E-02 -6.88757E-05
  4.30010E+01  2.32553E+05  8.05927E+01  3.88998E-01 -5.98889E-05  2.79421E+01  5.50643E-02 -7.05262E-05
  4.40010E+01  2.27268E+05  8.07503E+01  3.99752E-01 -6.13043E-05  2.79644E+01  5.64436E-02 -7.21775E-05
  4.50010E+01  2.22217E+05  8.09123E+01  4.10635E-01 -6.27214E-05  2.79872E+01  5.78299E-02 -7.38295E-05
  4.60010E+01  2.17387E+05  8.10786E+01  4.21652E-01 -6.41400E-05  2.80106E+01  5.92235E-02 -7.54824E-05
  4.70010E+01  2.12761E+05  8.12494E+01  4.32807E-01 -6.55604E-05  2.80346E+01  6.06245E-02 -7.71360E-05
  4.80010E+01  2.08329E+05  8.14247E+01  4.44106E-01 -6.69825E-05  2.80591E+01  6.20333E-02 -7.87905E-05
  4.90010E+01  2.04077E+05  8.16045E+01  4.55552E-01 -6.84064E-05  2.80842E+01  6.34499E-02 -8.04459E-05
  5.00010E+01  1.99996E+05  8.17889E+01  4.67151E-01 -6.98321E-05  2.81099E+01  6.48745E-02 -8.21020E-05
  5.10010E+01  1.96075E+05  8.19779E+01  4.78908E-01 -7.12596E-05  2.81361E+01  6.63075E-02 -8.37591E-05
  5.20010E+01  1.92304E+05  8.21717E+01  4.90828E-01 -7.26891E-05  2.81629E+01  6.77489E-02 -8.54171E-05
  5.30010E+01  1.88676E+05  8.23703E+01  5.02917E-01 -7.41205E-05  2.81903E+01  6.91991E-02 -8.70760E-05
  5.40010E+01  1.85182E+05  8.25738E+01  5.15179E-01 -7.55539E-05  2.82183E+01  7.06581E-02 -8.87358E-05
  5.50010E+01  1.81815E+05  8.27822E+01  5.27621E-01 -7.69893E-05  2.82468E+01  7.21263E-02 -9.03966E-05
  5.60010E+01  1.78568E+05  8.29956E+01  5.40248E-01 -7.84268E-05  2.82759E+01  7.36038E-02 -9.20583E-05
  5.70010E+01  1.75436E+05  8.32141E+01  5.53067E-01 -7.98664E-05  2.83057E+01  7.50909E-02 -9.37211E-05
