  3.00010E+01  3.33322E+05  8.99790E+00  1.37891E-02 -1.70315E-04  1.21266E+01  2.46587E-02 -1.67685E-04  1.23344E+01  2.55693E-02 -1.68065E-04
  3.10010E+01  3.22570E+05  9.00352E+00  1.42885E-02 -1.76263E-04  1.21366E+01  2.56309E-02 -1.74007E-04  1.23449E+01  2.65751E-02 -1.74382E-04
  3.20010E+01  3.12490E+05  9.00933E+00  1.47919E-02 -1.82237E-04  1.21470E+01  2.66197E-02 -1.80410E-04  1.23557E+01  2.75979E-02 -1.80776E-04
  3.30010E+01  3.03021E+05  9.01534E+00  1.52996E-02 -1.88241E-04  1.21579E+01  2.76260E-02 -1.86896E-04  1.23669E+01  2.86385E-02 -1.87252E-04
  3.40010E+01  2.94109E+05  9.02156E+00  1.58117E-02 -1.94273E-04  1.21691E+01  2.86506E-02 -1.93470E-04  1.23786E+01  2.96979E-02 -1.93813E-04
  3.50010E+01  2.85706E+05  9.02798E+00  1.63284E-02 -2.00337E-04  1.21808E+01  2.96946E-02 -2.00137E-04  1.23906E+01  3.07771E-02 -2.00464E-04
  3.60010E+01  2.77770E+05  9.03462E+00  1.68499E-02 -2.06431E-04  1.21928E+01  3.07590E-02 -2.06900E-04  1.24031E+01  3.18769E-02 -2.07210E-04
  3.70010E+01  2.70263E+05  9.04146E+00  1.73763E-02 -2.12559E-04  1.22053E+01  3.18447E-02 -2.13764E-04  1.24161E+01  3.29986E-02 -2.14053E-04
  3.80010E+01  2.63151E+05  9.04851E+00  1.79078E-02 -2.18720E-04  1.22183E+01  3.29528E-02 -2.20734E-04  1.24295E+01  3.41431E-02 -2.21000E-04
  3.90010E+01  2.56404E+05  9.05578E+00  1.84447E-02 -2.24915E-04  1.22317E+01  3.40846E-02 -2.27816E-04  1.24434E+01  3.53118E-02 -2.28055E-04
  4.00010E+01  2.49994E+05  9.06326E+00  1.89871E-02 -2.31147E-04  1.22455E+01  3.52412E-02 -2.35014E-04  1.24577E+01  3.65057E-02 -2.35223E-04
  4.10010E+01  2.43896E+05  9.07096E+00  1.95352E-02 -2.37416E-04  1.22598E+01  3.64239E-02 -2.42334E-04  1.24725E+01  3.77262E-02 -2.42510E-04
  4.20010E+01  2.38090E+05  9.07888E+00  2.00892E-02 -2.43723E-04  1.22746E+01  3.76340E-02 -2.49782E-04  1.24879E+01  3.89747E-02 -2.49921E-04
  4.30010E+01  2.32553E+05  9.08702E+00  2.06493E-02 -2.50069E-04  1.22899E+01  3.88729E-02 -2.57364E-04  1.25037E+01  4.02525E-02 -2.57462E-04
  4.40010E+01  2.27268E+05  9.09539E+00  2.12157E-02 -2.56456E-04  1.23057E+01  4.01422E-02 -2.65087E-04  1.25200E+01  4.15613E-02 -2.65139E-04
  4.50010E+01  2.22217E+05  9.10398E+00  2.17887E-02 -2.62885E-04  1.23219E+01  4.14434E-02 -2.72956E-04  1.25369E+01  4.29025E-02 -2.72960E-04
  4.60010E+01  2.17387E+05  9.11281E+00  2.23684E-02 -2.69356E-04  1.23388E+01  4.27782E-02 -2.80980E-04  1.25543E+01  4.42779E-02 -2.80930E-04
  4.70010E+01  2.12761E+05  9.12186E+00  2.29551E-02 -2.75872E-04  1.23561E+01  4.41484E-02 -2.89165E-04  1.25722E+01  4.56893E-02 -2.89057E-04
  4.80010E+01  2.08329E+05  9.13116E+00  2.35490E-02 -2.82434E-04  1.23740E+01  4.55557E-02 -2.97520E-04  1.25908E+01  4.71386E-02 -2.97348E-04
  4.90010E+01  2.04077E+05  9.14069E+00  2.41503E-02 -2.89042E-04  1.23925E+01  4.70023E-02 -3.06052E-04  1.26099E+01  4.86278E-02 -3.05812E-04
  5.00010E+01  1.99996E+05  9.15047E+00  2.47594E-02 -2.95699E-04  1.24116E+01  4.84902E-02 -3.14771E-04  1.26296E+01  5.01590E-02 -3.14457E-04
  5.10010E+01  1.96075E+05  9.16049E+00  2.53764E-02 -3.02405E-04  1.24312E+01  5.00217E-02 -3.23686E-04  1.26500E+01  5.17344E-02 -3.23292E-04
  5.20010E+01  1.92304E+05  9.17076E+00  2.60016E-02 -3.09162E-04  1.24515E+01  5.15991E-02 -3.32806E-04  1.26709E+01  5.33566E-02 -3.32325E-04
  5.30010E+01  1.88676E+05  9.18128E+00  2.66353E-02 -3.15972E-04  1.24724E+01  5.32250E-02 -3.42142E-04  1.26926E+01  5.50281E-02 -3.41568E-04
  5.40010E+01  1.85182E+05  9.19205E+00  2.72778E-02 -3.22835E-04  1.24940E+01  5.49021E-02 -3.51704E-04  1.27149E+01  5.67515E-02 -3.51031E-04
  5.50010E+01  1.81815E+05  9.20308E+00  2.79293E-02 -3.29753E-04  1.25163E+01  5.66333E-02 -3.61504E-04  1.27379E+01  5.85299E-02 -3.60724E-04
  5.60010E+01  1.78568E+05  9.21438E+00  2.85901E-02 -3.36728E-04  1.25392E+01  5.84216E-02 -3.71555E-04  1.27616E+01  6.03664E-02 -3.70659E-04
