  1.00000E-03  1.00000E+10  2.98611E+00  7.30005E-08  3.46191E+00  1.07454E-07  3.49105E+00  1.15424E-07
  1.00100E+00  9.99001E+06  2.98613E+00  7.39789E-05  3.46193E+00  1.09343E-04  3.49107E+00  1.12568E-04
  2.00100E+00  4.99750E+06  2.98617E+00  1.47901E-04  3.46200E+00  2.18631E-04  3.49114E+00  2.25079E-04
  3.00100E+00  3.33222E+06  2.98625E+00  2.21859E-04  3.46211E+00  3.28028E-04  3.49125E+00  3.37700E-04
  4.00100E+00  2.49938E+06  2.98635E+00  2.95870E-04  3.46226E+00  4.37588E-04  3.49141E+00  4.50486E-04
  5.00100E+00  1.99960E+06  2.98648E+00  3.69950E-04  3.46246E+00  5.47367E-04  3.49161E+00  5.63492E-04
  6.00100E+00  1.66639E+06  2.98665E+00  4.44119E-04  3.46270E+00  6.57418E-04  3.49186E+00  6.76775E-04
  7.00100E+00  1.42837E+06  2.98684E+00  5.18394E-04  3.46298E+00  7.67798E-04  3.49215E+00  7.90391E-04
  8.00100E+00  1.24984E+06  2.98706E+00  5.92792E-04  3.46331E+00  8.78563E-04  3.49249E+00  9.04397E-04
  9.00100E+00  1.11099E+06  2.98731E+00  6.67331E-04  3.46369E+00  9.89770E-04  3.49287E+00  1.01885E-03
  1.00010E+01  9.99900E+05  2.98759E+00  7.42030E-04  3.46410E+00  1.10148E-03  3.49330E+00  1.13381E-03
  1.10010E+01  9.09008E+05  2.98791E+00  8.16906E-04  3.46457E+00  1.21374E-03  3.49378E+00  1.24933E-03
  1.20010E+01  8.33264E+05  2.98825E+00  8.91977E-04  3.46507E+00  1.32662E-03  3.49430E+00  1.36548E-03
  1.30010E+01  7.69172E+05  2.98862E+00  9.67263E-04  3.46563E+00  1.44018E-03  3.49487E+00  1.48231E-03
  1.40010E+01  7.14235E+05  2.98902E+00  1.04278E-03  3.46623E+00  1.55448E-03  3.49549E+00  1.59989E-03
  1.50010E+01  6.66622E+05  2.98945E+00  1.11855E-03  3.46687E+00  1.66958E-03  3.49615E+00  1.71828E-03
  1.60010E+01  6.24961E+05  2.98992E+00  1.19459E-03  3.46756E+00  1.78554E-03  3.49686E+00  1.83755E-03
  1.70010E+01  5.88201E+05  2.99041E+00  1.27092E-03  3.46830E+00  1.90244E-03  3.49762E+00  1.95776E-03
  1.80010E+01  5.55525E+05  2.99093E+00  1.34755E-03  3.46908E+00  2.02034E-03  3.49842E+00  2.07898E-03
  1.90010E+01  5.26288E+05  2.99149E+00  1.42451E-03  3.46991E+00  2.13931E-03  3.49928E+00  2.20129E-03
  2.00010E+01  4.99975E+05  2.99207E+00  1.50182E-03  3.47079E+00  2.25941E-03  3.50018E+00  2.32474E-03
  2.10010E+01  4.76168E+05  2.99269E+00  1.57950E-03  3.47172E+00  2.38074E-03  3.50114E+00  2.44943E-03
  2.20010E+01  4.54525E+05  2.99333E+00  1.65756E-03  3.47269E+00  2.50334E-03  3.50214E+00  2.57541E-03
  2.30010E+01  4.34764E+05  2.99401E+00  1.73603E-03  3.47372E+00  2.62732E-03  3.50319E+00  2.70278E-03
  2.40010E+01  4.16649E+05  2.99472E+00  1.81492E-03  3.47479E+00  2.75274E-03  3.50430E+00  2.83161E-03
  2.50010E+01  3.99984E+05  2.99546E+00  1.89426E-03  3.47592E+00  2.87970E-03  3.50546E+00  2.96199E-03
  2.60010E+01  3.84601E+05  2.99624E+00  1.97408E-03  3.47709E+00  3.00827E-03  3.50667E+00  3.09400E-03
  2.70010E+01  3.70357E+05  2.99704E+00  2.05438E-03  3.47832E+00  3.13854E-03  3.50793E+00  3.22773E-03
  2.80010E+01  3.57130E+05  2.99788E+00  2.13520E-03  3.47960E+00  3.27062E-03  3.50925E+00  3.36328E-03
  2.90010E+01  3.44816E+05  2.99875E+00  2.21655E-03  3.48094E+00  3.40459E-03  3.51062E+00  3.50075E-03
  3.00010E+01  3.33322E+05  2.99965E+00  2.29846E-03  3.48232E+00  3.54055E-03  3.51204E+00  3.64023E-03
  3.10010E+01  3.22570E+05  3.00059E+00  2.38095E-03  3.48376E+00  3.67862E-03  3.51353E+00  3.78183E-03
  3.20010E+01  3.12490E+05  3.00156E+00  2.46404E-03  3.48526E+00  3.81889E-03  3.51507E+00  3.92566E-03
  3.30010E+01  3.03021E+05  3.00256E+00  2.54776E-03  3.48682E+00  3.96149E-03  3.51666E+00  4.07183E-03
  3.40010E+01  2.94109E+05  3.00359E+00  2.63213E-03  3.48843E+00  4.10653E-03  3.51832E+00  4.22047E-03
  3.50010E+01  2.85706E+05  3.00466E+00  2.71718E-03  3.49010E+00  4.25413E-03  3.52004E+00  4.37170E-03
  3.60010E+01  2.77770E+05  3.00577E+00  2.80292E-03  3.49183E+00  4.40442E-03  3.52181E+00  4.52564E-03
  3.70010E+01  2.70263E+05  3.00690E+00  2.88940E-03  3.49362E+00  4.55755E-03  3.52365E+00  4.68244E-03
  3.80010E+01  2.63151E+05  3.00808E+00  2.97663E-03  3.49547E+00  4.71365E-03  3.52555E+00  4.84224E-03
  3.90010E+01  2.56404E+05  3.00928E+00  3.06464E-03  3.49738E+00  4.87287E-03  3.52752E+00  5.00518E-03
  4.00010E+01  2.49994E+05  3.01053E+00  3.15345E-03  3.49936E+00  5.03538E-03  3.52955E+00  5.17143E-03
  4.10010E+01  2.43896E+05  3.01180E+00  3.24310E-03  3.50141E+00  5.20132E-03  3.53165E+00  5.34116E-03
  4.20010E+01  2.38090E+05  3.01312E+00  3.33362E-03  3.50352E+00  5.37089E-03  3.53382E+00  5.51452E-03
