# NKPT  3001 NBND    16 NSPIN     1
# NPANEL     6
#      1   (0,0,0)/2
#    593   (1,1,0)/2
#    985   (0,1,0)/2
#   1501   (0,1,1)/2
#   1893   (1,1,1)/2
#   2485   (0,0,1)/2
#   3001   (0,0,0)/2
@ WITH G0
@ G0 ON
@ TITLE "BAND STRUCTURE"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.70855
@ XAXIS TICKLABEL    1,"(1,1,0)/2"
@ XAXIS TICK     2,     1.17844
@ XAXIS TICKLABEL    2,"(0,1,0)/2"
@ XAXIS TICK     3,     1.79581
@ XAXIS TICKLABEL    3,"(0,1,1)/2"
@ XAXIS TICK     4,     2.26569
@ XAXIS TICKLABEL    4,"(1,1,1)/2"
@ XAXIS TICK     5,     2.97425
@ XAXIS TICKLABEL    5,"(0,0,1)/2"
@ XAXIS TICK     6,     3.59161
@ XAXIS TICKLABEL    6,"(0,0,0)/2"
@ WORLD      0.00000,        -0.2,     3.59161,         0.3
@ VIEW      0.15000,     0.15000,     1.14418,     0.85000
  0.00000E+00 -0.12471E+00 -0.75325E-01 -0.75325E-01 -0.74162E-01 -0.31326E-01 -0.31326E-01 -0.29827E-01 -0.16926E-01 -0.16926E-01  0.73043E-01  0.99363E-01  0.13974E+00  0.13974E+00  0.14145E+00  0.14145E+00  0.17896E+00
  0.11969E-02 -0.12471E+00 -0.75326E-01 -0.75325E-01 -0.74161E-01 -0.31327E-01 -0.31327E-01 -0.29827E-01 -0.16928E-01 -0.16926E-01  0.73045E-01  0.99364E-01  0.13973E+00  0.13974E+00  0.14145E+00  0.14145E+00  0.17896E+00
  0.23938E-02 -0.12471E+00 -0.75327E-01 -0.75324E-01 -0.74159E-01 -0.31330E-01 -0.31329E-01 -0.29828E-01 -0.16932E-01 -0.16924E-01  0.73049E-01  0.99364E-01  0.13973E+00  0.13973E+00  0.14144E+00  0.14145E+00  0.17897E+00
  0.35906E-02 -0.12471E+00 -0.75330E-01 -0.75323E-01 -0.74156E-01 -0.31334E-01 -0.31333E-01 -0.29828E-01 -0.16938E-01 -0.16922E-01  0.73056E-01  0.99365E-01  0.13972E+00  0.13973E+00  0.14144E+00  0.14145E+00  0.17898E+00
  0.47875E-02 -0.12471E+00 -0.75334E-01 -0.75321E-01 -0.74152E-01 -0.31340E-01 -0.31338E-01 -0.29829E-01 -0.16947E-01 -0.16918E-01  0.73065E-01  0.99366E-01  0.13971E+00  0.13972E+00  0.14144E+00  0.14145E+00  0.17899E+00
  0.59844E-02 -0.12471E+00 -0.75338E-01 -0.75318E-01 -0.74147E-01 -0.31348E-01 -0.31344E-01 -0.29830E-01 -0.16959E-01 -0.16913E-01  0.73078E-01  0.99368E-01  0.13969E+00  0.13972E+00  0.14143E+00  0.14145E+00  0.17900E+00
  0.71813E-02 -0.12471E+00 -0.75344E-01 -0.75315E-01 -0.74140E-01 -0.31357E-01 -0.31352E-01 -0.29831E-01 -0.16974E-01 -0.16907E-01  0.73093E-01  0.99370E-01  0.13967E+00  0.13971E+00  0.14142E+00  0.14145E+00  0.17902E+00
  0.83781E-02 -0.12472E+00 -0.75351E-01 -0.75311E-01 -0.74133E-01 -0.31369E-01 -0.31362E-01 -0.29832E-01 -0.16991E-01 -0.16900E-01  0.73111E-01  0.99372E-01  0.13964E+00  0.13970E+00  0.14142E+00  0.14145E+00  0.17905E+00
  0.95750E-02 -0.12472E+00 -0.75359E-01 -0.75307E-01 -0.74124E-01 -0.31382E-01 -0.31373E-01 -0.29833E-01 -0.17010E-01 -0.16892E-01  0.73132E-01  0.99375E-01  0.13962E+00  0.13969E+00  0.14141E+00  0.14145E+00  0.17907E+00
  0.10772E-01 -0.12472E+00 -0.75368E-01 -0.75302E-01 -0.74114E-01 -0.31396E-01 -0.31385E-01 -0.29834E-01 -0.17033E-01 -0.16883E-01  0.73156E-01  0.99378E-01  0.13958E+00  0.13967E+00  0.14140E+00  0.14145E+00  0.17910E+00
  0.11969E-01 -0.12472E+00 -0.75378E-01 -0.75297E-01 -0.74103E-01 -0.31413E-01 -0.31400E-01 -0.29835E-01 -0.17057E-01 -0.16873E-01  0.73182E-01  0.99381E-01  0.13955E+00  0.13966E+00  0.14139E+00  0.14146E+00  0.17913E+00
  0.13166E-01 -0.12473E+00 -0.75388E-01 -0.75291E-01 -0.74090E-01 -0.31431E-01 -0.31415E-01 -0.29837E-01 -0.17085E-01 -0.16862E-01  0.73211E-01  0.99385E-01  0.13951E+00  0.13964E+00  0.14138E+00  0.14146E+00  0.17917E+00
  0.14363E-01 -0.12473E+00 -0.75400E-01 -0.75284E-01 -0.74077E-01 -0.31451E-01 -0.31432E-01 -0.29838E-01 -0.17115E-01 -0.16850E-01  0.73243E-01  0.99389E-01  0.13947E+00  0.13963E+00  0.14136E+00  0.14146E+00  0.17921E+00
  0.15559E-01 -0.12474E+00 -0.75414E-01 -0.75277E-01 -0.74062E-01 -0.31472E-01 -0.31451E-01 -0.29840E-01 -0.17147E-01 -0.16837E-01  0.73278E-01  0.99393E-01  0.13942E+00  0.13961E+00  0.14135E+00  0.14146E+00  0.17925E+00
  0.16756E-01 -0.12474E+00 -0.75428E-01 -0.75269E-01 -0.74046E-01 -0.31496E-01 -0.31471E-01 -0.29841E-01 -0.17183E-01 -0.16823E-01  0.73315E-01  0.99398E-01  0.13938E+00  0.13959E+00  0.14133E+00  0.14146E+00  0.17930E+00
  0.17953E-01 -0.12474E+00 -0.75443E-01 -0.75261E-01 -0.74029E-01 -0.31521E-01 -0.31493E-01 -0.29842E-01 -0.17220E-01 -0.16808E-01  0.73355E-01  0.99403E-01  0.13932E+00  0.13956E+00  0.14132E+00  0.14146E+00  0.17935E+00
  0.19150E-01 -0.12475E+00 -0.75459E-01 -0.75252E-01 -0.74011E-01 -0.31548E-01 -0.31517E-01 -0.29843E-01 -0.17260E-01 -0.16792E-01  0.73398E-01  0.99409E-01  0.13927E+00  0.13954E+00  0.14130E+00  0.14146E+00  0.17940E+00
  0.20347E-01 -0.12476E+00 -0.75476E-01 -0.75243E-01 -0.73992E-01 -0.31576E-01 -0.31542E-01 -0.29844E-01 -0.17303E-01 -0.16775E-01  0.73443E-01  0.99414E-01  0.13921E+00  0.13952E+00  0.14128E+00  0.14146E+00  0.17946E+00
  0.21544E-01 -0.12476E+00 -0.75494E-01 -0.75233E-01 -0.73971E-01 -0.31606E-01 -0.31569E-01 -0.29845E-01 -0.17348E-01 -0.16757E-01  0.73491E-01  0.99421E-01  0.13915E+00  0.13949E+00  0.14126E+00  0.14146E+00  0.17952E+00
  0.22741E-01 -0.12477E+00 -0.75514E-01 -0.75222E-01 -0.73949E-01 -0.31638E-01 -0.31597E-01 -0.29846E-01 -0.17396E-01 -0.16739E-01  0.73542E-01  0.99427E-01  0.13909E+00  0.13946E+00  0.14124E+00  0.14146E+00  0.17958E+00
