E(cm-1),I
0.01,4.1157379845477976e-42
0.20697546709341869,6.0360388058098e-42
0.40395093418683736,8.845437550418063e-42
0.600926401280256,1.2952381016306394e-41
0.7979018683736747,1.895146970067206e-41
0.9948773354670934,2.7707616807458214e-41
1.191852802560512,4.047794382425521e-41
1.3888282696539307,5.908819277476499e-41
1.5858037367473494,8.618783356025623e-41
1.7827792038407682,1.2561867686819491e-40
1.9797546709341869,1.8294706998283824e-40
2.1767301380276054,2.6623165708024277e-40
2.3737056051210237,3.871300873268367e-40
2.5706810722144424,5.624930347324139e-40
2.767656539307861,8.166582726569612e-40
2.96463200640128,1.1847496138511987e-39
3.1616074734946986,1.7174170856315723e-39
3.3585829405881173,2.487642544960135e-39
3.555558407681536,3.600502904587344e-39
3.752533874774955,5.2071651118972266e-39
3.9495093418683735,7.524931055129725e-39
4.146484808961792,1.0865924795677836e-38
4.343460276055211,1.56781154402997e-38
4.540435743148629,2.2603933147249393e-38
4.737411210242048,3.256395633498907e-38
4.934386677335467,4.687629800970408e-38
5.131362144428885,6.742678348774375e-38
5.328337611522304,9.69113340767429e-38
5.5253130786157225,1.3918091739736017e-37
5.722288545709142,1.9973207356250008e-37
5.91926401280256,2.864038950495889e-37
6.116239479895979,4.103675605225314e-37
6.3132149469893974,5.875300964375157e-37
6.510190414082816,8.405241720532568e-37
6.707165881176235,1.2015263235357847e-36
6.904141348269653,1.716245318736196e-36
7.101116815363072,2.4495619912692743e-36
7.298092282456491,3.4934979838556543e-36
7.49506774954991,4.978466080761764e-36
7.692043216643328,7.089140788756104e-36
7.889018683736747,1.0086828656945161e-35
8.085994150830166,1.434097501240616e-35
8.282969617923584,2.037350301363475e-35
8.479945085017002,2.8921161455152593e-35
8.676920552110422,4.102312547204406e-35
8.87389601920384,5.814397970426405e-35
9.070871486297259,8.234623664931945e-35
9.267846953390677,1.1653214789015644e-34
9.464822420484095,1.6478236813632258e-34
9.661797887577515,2.328298840430659e-34
9.858773354670934,3.2872270128899196e-34
10.055748821764352,4.637497255925328e-34
10.25272428885777,6.537333298023532e-34
10.44969975595119,9.208323807206272e-34
10.646675223044609,1.2960552964634112e-33
10.843650690138027,1.8227599306737704e-33
11.040626157231445,2.5615238752228112e-33
11.237601624324864,3.596916338977826e-33
11.434577091418284,5.046906493731411e-33
11.631552558511702,7.075924226759623e-33
11.82852802560512,9.912976623645995e-33
12.025503492698538,1.387675701764916e-32
12.222478959791959,1.9410417599859115e-32
12.419454426885377,2.7129686014234126e-32
12.616429893978795,3.788939313184333e-32
12.813405361072213,5.287538279322054e-32
13.010380828165632,7.373138518178133e-32
13.207356295259052,1.0273401347807693e-31
13.40433176235247,1.43033942730948e-31
13.601307229445888,1.9898803286315574e-31
13.798282696539307,2.766163208674503e-31
13.995258163632727,3.8423032312815775e-31
14.192233630726145,5.3329617003686495e-31
14.389209097819563,7.396193876600195e-31
14.586184564912982,1.0249698775530158e-30
14.7831600320064,1.4193088510371672e-30
14.98013549909982,1.9638382442892617e-30
15.177110966193238,2.715173016496124e-30
15.374086433286656,3.751045204818097e-30
15.571061900380075,5.1780957921274804e-30
15.768037367473495,7.142509985709568e-30
15.965012834566913,9.844521810000287e-30
16.161988301660333,1.3558179774345736e-29
16.358963768753753,1.86582601547386e-29
16.55593923584717,2.565688299937051e-29
16.75291470294059,3.525328862667731e-29
16.949890170034006,4.8401450080185716e-29
17.146865637127426,6.640183832207271e-29
17.343841104220846,9.102586742025538e-29
17.540816571314263,1.2468452149917098e-28
17.737792038407683,1.7065666453969713e-28
17.9347675055011,2.3339790682179703e-28
18.13174297259452,3.1895811352503344e-28
18.32871843968794,4.355453131413932e-28
18.525693906781356,5.942867245168061e-28
18.722669373874776,8.102549754706818e-28
18.919644840968193,1.1038508025835627e-27
19.116620308061613,1.5026645554149398e-27
19.313595775155033,2.0439802764606654e-27
19.51057124224845,2.778141439224366e-27
19.70754670934187,3.773071175886491e-27
19.90452217643529,5.120338077336509e-27
20.101497643528706,6.943289432811832e-27
20.298473110622126,9.407947720813153e-27
20.495448577715543,1.2737597316763123e-26
20.692424044808963,1.723229530456457e-26
20.889399511902383,2.3294947462516785e-26
21.0863749789958,3.14661302383408e-26
21.28335044608922,4.247055438913068e-26
21.480325913182636,5.727901196086289e-26
21.677301380276056,7.719089910174472e-26
21.874276847369476,1.0394405967452916e-25
22.071252314462892,1.3986087589424582e-25
22.268227781556313,1.8804240906150682e-25
22.46520324864973,2.526261845092572e-25
22.66217871574315,3.39128206443307e-25
22.85915418283657,4.548963550675388e-25
23.056129649929986,6.097109500202656e-25
23.253105117023406,8.165796004668009e-25
23.450080584116826,1.092788338136503e-24
23.647056051210242,1.4612905338883545e-24
23.844031518303662,1.9525406494640703e-24
24.04100698539708,2.606913320303541e-24
24.2379824524905,3.477892003964971e-24
24.43495791958392,4.636268582167819e-24
24.631933386677336,6.175669923924961e-24
24.828908853770756,8.219824757728025e-24
25.025884320864172,1.0932111073093998e-23
25.222859787957592,1.4528089495391796e-23
25.419835255051012,1.9291943063130473e-23
25.61681072214443,2.5598023333514264e-23
25.81378618923785,3.393906579964002e-23
26.010761656331265,4.496310880266898e-23
26.207737123424685,5.952176115661942e-23
26.404712590518105,7.873325539561661e-23
26.601688057611522,1.0406474844344064e-22
26.798663524704942,1.3743965715276522e-22
26.99563899179836,1.8137752936372937e-22
27.19261445889178,2.3917616330192316e-22
27.3895899259852,3.151485421611747e-22
27.586565393078615,4.1493082968442945e-22
27.783540860172035,5.458824108602629e-22
27.980516327265455,7.176050593039027e-22
28.177491794358872,9.426161526386202e-22
28.374467261452292,1.237220928450596e-21
28.57144272854571,1.6226417002513892e-21
28.76841819563913,2.1264785308010066e-21
28.96539366273255,2.7845971020783534e-21
29.162369129825965,3.643566715942392e-21
29.359344596919385,4.7638061453990735e-21
29.5563200640128,6.223639514096666e-21
29.75329553110622,8.124521151481069e-21
29.950270998199642,1.0597760800220297e-20
30.14724646529306,1.38131728809309e-20
30.34422193238648,1.7990191112507923e-20
30.541197399479895,2.3412139428734677e-20
30.738172866573315,3.0444540393593595e-20
30.935148333666735,3.955858401551084e-20
31.13212380076015,5.136118663451553e-20
31.32909926785357,6.663345859018321e-20
31.52607473494699,8.637989230258988e-20
31.723050202040408,1.1189120641527532e-19
31.920025669133828,1.4482457093681747e-19
32.117001136227245,1.8730593578058328e-19
32.31397660332066,2.4206044455130673e-19
32.51095207041408,3.125785042900756e-19
32.7079275375075,4.033270845796202e-19
32.90490300460092,5.200183415129767e-19
33.101878471694334,6.6995083548239275e-19
33.29885393878775,8.624426012816148e-19
33.495829405881175,1.1093803401133537e-18
33.69280487297459,1.4259152918301558e-18
33.88978034006801,1.8313442309499147e-18
34.08675580716143,2.3502239082953676e-18
