E(cm-1),I
0.01,6.184734600028594e-182
0.1551182796559312,1.1186747884882502e-181
0.3002365593118624,2.0225707127713318e-181
0.4453548389677936,3.655280075462839e-181
0.5904731186237248,6.603203551798305e-181
0.7355913982796559,1.192355590361212e-180
0.8807096779355872,2.152157151065001e-180
1.0258279575915183,3.882927214519379e-180
1.1709462372474495,7.002636775357686e-180
1.3160645169033807,1.2623536257252735e-179
1.4611827965593118,2.2746655195553834e-179
1.606301076215243,4.097048812571801e-179
1.7514193558711744,7.376355057137764e-179
1.8965376355271055,1.3274848369463696e-178
2.0416559151830365,2.3880004605611837e-178
2.1867741948389674,4.293943488006715e-178
2.331892474494899,7.717832054691176e-178
2.47701075415083,1.3866006653335545e-177
2.622129033806761,2.490144594170889e-177
2.7672473134626925,4.470074985742224e-177
2.9123655931186234,8.020882093867049e-177
3.057483872774555,1.4386214692912537e-176
3.2026021524304857,2.5792178350318408e-176
3.347720432086417,4.622177193655154e-176
3.4928387117423485,8.279845606762811e-176
3.6379569913982794,1.4825691811163316e-175
3.783075271054211,2.653534744237343e-175
3.9281935507101418,4.7473545763357843e-175
4.073311830366073,8.489764487655516e-175
4.2184301100220045,1.517597828919457e-174
4.363548389677935,2.7116574817071894e-174
4.508666669333866,4.843173725562903e-174
4.653784948989798,8.646539796707907e-174
4.798903228645729,1.5430205959328538e-173
4.9440215083016605,2.752442039042737e-173
5.089139787957591,4.907741989427142e-173
5.234258067613522,8.747064811898317e-173
5.379376347269454,1.5583322091607175e-172
5.524494626925385,2.7750756775723036e-172
5.669612906581316,4.939769632757915e-172
5.814731186237247,8.789327398342366e-172
5.959849465893178,1.5632256381740084e-171
6.10496774554911,2.779103860489681e-171
6.250086025205041,4.938612677432222e-171
6.395204304860972,8.77247698353577e-171
6.540322584516903,1.5576023331750057e-170
6.6854408641728345,2.7644454324590257e-170
6.830559143828766,4.904294434851429e-170
6.975677423484697,8.696853024418599e-170
7.120795703140628,1.5415755254536764e-169
7.265913982796559,2.731395338557841e-169
7.4110322624524905,4.8375047248568133e-169
7.556150542108422,8.563973635448136e-169
7.701268821764352,1.5154664358341198e-168
7.846387101420284,2.6806147553208867e-168
7.991505381076215,4.739576817658877e-168
8.136623660732146,8.376484909816526e-168
8.281741940388077,1.4797935684591732e-167
8.42686022004401,2.6131090951522497e-167
8.57197849969994,4.612443175398949e-167
8.71709677935587,8.138073297020208e-167
8.862215059011803,1.4352555883637237e-166
9.007333338667733,2.5301949062408494e-166
9.152451618323665,4.458572045571205e-166
9.297569897979596,7.853345089749928e-166
9.442688177635526,1.3827085726303607e-165
9.587806457291459,2.433457190044263e-165
