E(cm-1),I
0.01,1.5737243853040358e-76
0.1626005521104221,2.3529421232207213e-76
0.3152011042208442,3.5163455569162945e-76
0.46780165633126625,5.2525425862726786e-76
0.6204022084416884,7.842334267142789e-76
0.7730027605521105,1.1703583258457427e-75
0.9256033126625325,1.7457822794471062e-75
1.0782038647729546,2.602909359502389e-75
1.2308044168833767,3.879053250523789e-75
1.3834049689937988,5.778168073242568e-75
1.536005521104221,8.603047710055147e-75
1.688606073214643,1.2803014129453192e-74
1.841206625325065,1.904451207841458e-74
1.993807177435487,2.831556347945023e-74
2.146407729545909,4.20802487908645e-74
2.2990082816563313,6.250706705063872e-74
2.451608833766753,9.280634655064388e-74
2.604209385877175,1.3772854631661455e-73
2.7568099379875974,2.0429981963784652e-73
2.9094104900980193,3.029072966755544e-73
3.0620110422084417,4.4889960088781424e-73
3.2146115943188636,6.649460886667807e-73
3.367212146429286,9.845128399756844e-73
3.519812698539708,1.45698159497856e-72
3.6724132506501297,2.1551846197089769e-72
3.825013802760552,3.1864904762973784e-72
3.977614354870974,4.709106395817236e-72
4.130214906981396,6.956040680430729e-72
4.282815459091818,1.0270307712210571e-71
4.43541601120224,1.5156625880131567e-71
4.588016563312663,2.2357299158944143e-71
4.740617115423085,3.2963542477049925e-71
4.893217667533507,4.857872918734013e-71
5.0458182196439285,7.155766385988118e-71
5.19841877175435,1.0535711995691762e-70
5.351019323864773,1.5504913905163215e-70
5.503619875975195,2.2807230942219274e-70
5.656220428085617,3.3533083750591964e-70
5.808820980196039,4.928016569072981e-70
5.961421532306462,7.238832997335452e-70
6.1140220844168836,1.0628272669728226e-69
6.2666226365273054,1.5597484058589828e-69
6.419223188637727,2.287937441140061e-69
6.571823740748149,3.3545283973690394e-69
6.724424292858572,4.916052727438372e-69
6.877024844968994,7.201107996898871e-69
7.029625397079416,1.0543379731864722e-68
7.182225949189838,1.5429722126496815e-68
7.33482650130026,2.2570131726492253e-68
7.487427053410682,3.299953459550504e-68
7.640027605521104,4.822578085942076e-68
7.792628157631526,7.044472111265194e-68
7.945228709741948,1.0285262309779735e-67
8.09782926185237,1.50099768545926e-67
8.250429813962793,2.1894871730184093e-67
8.403030366073216,3.1922913435029824e-67
8.555630918183637,4.65222132340881e-67
8.70823147029406,6.776663908536712e-67
8.86083202240448,9.866639466378689e-67
9.013432574514903,1.435887131369504e-66
9.166033126625326,2.0886663974670187e-66
9.318633678735747,3.0367957901973955e-66
9.47123423084617,4.4132632102283604e-66
9.62383478295659,6.410646115143352e-66
9.776435335067013,9.307681400902791e-66
9.929035887177436,1.3507623506498997e-65
10.081636439287857,1.9593594578176026e-65
10.23423699139828,2.8408416087067014e-65
10.386837543508701,4.1169695540004055e-65
10.539438095619124,5.963565898030957e-65
10.692038647729547,8.634399168826292e-65
10.844639199839968,1.2495566617014249e-64
10.99723975195039,1.8074967223491057e-64
11.149840304060811,2.6133454104792812e-64
11.302440856171234,3.7767117884771125e-64
11.455041408281657,5.4554251942745714e-64
11.607641960392078,7.876641848489622e-64
11.7602425125025,1.1367143021015234e-63
11.912843064612924,1.6396806909820106e-63
12.065443616723345,2.3640952631930856e-63
12.218044168833767,3.406970675648696e-63
12.370644720944188,4.907604438485529e-63
12.523245273054611,7.065915474399813e-63
12.675845825165034,1.0168691166158891e-62
12.828446377275455,1.4627139708932368e-62
12.981046929385878,2.1030591794582966e-62
13.133647481496299,3.0223260216048562e-62
13.286248033606721,4.341390576532116e-62
13.438848585717144,6.233244183219417e-62
13.591449137827565,8.945346215800146e-62
13.744049689937988,1.2831513929212412e-61
13.896650242048409,1.8397396902500392e-61
14.049250794158832,2.6365292164186052e-61
14.201851346269255,3.776648195121076e-61
14.354451898379676,5.407271872825661e-61
14.507052450490098,7.738336543059188e-61
14.65965300260052,1.1069162244209573e-60
14.812253554710942,1.5826308425008204e-60
14.964854106821365,2.2617376592027192e-60
15.117454658931786,3.230744144953859e-60
15.270055211042209,4.6127576186780107e-60
15.422655763152632,6.582887543567708e-60
15.575256315263053,9.390094643086751e-60
15.727856867373475,1.3388170526804919e-59
15.880457419483896,1.9079642524576785e-59
16.03305797159432,2.717796681152523e-59
16.185658523704742,3.869558589173029e-59
16.338259075815166,5.506854752480711e-59
16.490859627925587,7.833278169459667e-59
16.64346018003601,1.1137333097941165e-58
16.796060732146433,1.5827655931928556e-58
16.948661284256854,2.2482765210361516e-58
17.101261836367275,3.1921300880675295e-58
17.253862388477696,4.530114412114858e-58
17.40646294058812,6.425922624993037e-58
17.55906349269854,9.110863612721368e-58
17.711664044808963,1.2911637699695803e-57
17.864264596919387,1.828945858389835e-57
18.016865149029808,2.5895130253016617e-57
18.16946570114023,3.664654893110228e-57
18.322066253250654,5.183770880306633e-57
18.474666805361075,7.329194467673443e-57
18.627267357471496,1.0357726158885406e-56
18.779867909581917,1.463087624363529e-56
18.93246846169234,2.065732018843747e-56
19.085069013802762,2.915247004380481e-56
19.237669565913183,4.112202253012508e-56
19.390270118023608,5.797907841845579e-56
19.54287067013403,8.170824481863792e-56
19.69547122224445,1.150954585022372e-55
19.848071774354874,1.6204969781674544e-55
20.000672326465295,2.280531083341461e-55
20.153272878575716,3.20790500240684e-55
20.30587343068614,4.510292773819018e-55
20.458473982796562,6.338488420698772e-55
20.611074534906983,8.903574582461813e-55
20.763675087017404,1.2500887102860858e-54
20.91627563912783,1.7543449754587038e-54
21.06887619123825,2.4608599257864423e-54
21.22147674334867,3.45029733682313e-54
21.374077295459095,4.8353051182772875e-54
21.526677847569516,6.773123238747187e-54
21.679278399679937,9.483132172838029e-54
21.83187895179036,1.3271266241062688e-53
21.984479503900783,1.856396121279702e-53
22.137080056011204,2.595533718428302e-53
22.289680608121625,3.627274562493738e-53
22.44228116023205,5.0667784843195835e-53
22.59488171234247,7.074261955261344e-53
22.74748226445289,9.872521528566352e-53
22.900082816563316,1.3771231334738019e-52
23.052683368673737,1.9200617254295113e-52
23.205283920784158,2.675810412742211e-52
23.357884472894582,3.7272903138529945e-52
23.510485025005003,5.189539647921169e-52
23.663085577115424,7.222078093146606e-52
23.81568612922585,1.0046001956301153e-51
23.96828668133627,1.396760899129051e-51
24.12088723344669,1.9411031382444775e-51
24.273487785557112,2.6963290256373183e-51
24.426088337667537,3.743647028177164e-51
24.578688889777958,5.1953478903694894e-51
24.73128944188838,7.2066280229364e-51
24.883889993998803,9.991882320216523e-51
25.036490546109224,1.3847145230254542e-50
25.189091098219645,1.9180985460681501e-50
25.34169165033007,2.6557018580507e-50
25.49429220244049,3.6752378543332313e-50
25.64689275455091,5.083810068892708e-50
25.799493306661333,7.028957463874016e-50
25.952093858771757,9.713824341259739e-50
26.10469441088218,1.3417985200681269e-49
26.2572949629926,1.8526018938714742e-49
26.409895515103024,2.5566697391369202e-49
26.562496067213445,3.5266705476617784e-49
26.715096619323866,4.862424634225597e-49
26.86769717143429,6.7009844073208245e-49
27.02029772354471,9.230432782868335e-49
27.172898275655132,1.2708762187949625e-48
27.325498827765557,1.7489692520107746e-48
27.478099379875978,2.4057961635506654e-48
27.6306999319864,3.3077540809477815e-48
27.78330048409682,4.5457477470759015e-48
27.935901036207245,6.244176675830309e-48
28.088501588317666,8.573196254724095e-48
28.241102140428087,1.1765437489020026e-47
28.39370269253851,1.61387958591466e-47
28.546303244648932,2.2127477508726797e-47
28.698903796759353,3.0324274555317168e-47
28.851504348869778,4.153810353408008e-47
29.0041049009802,5.687228023524648e-47
29.15670545309062,7.783095336100709e-47
29.30930600520104,1.0646375788480694e-46
29.461906557311465,1.4556231877192718e-46
29.614507109421886,1.989270632077492e-46
29.767107661532307,2.71729324632799e-46
29.919708213642732,3.710025374347505e-46
30.072308765753153,5.063082252732138e-46
30.224909317863574,6.906385530120261e-46
30.377509869974,9.41638887338707e-46
30.53011042208442,1.2832630376515483e-45
30.68271097419484,1.7480132383944387e-45
30.835311526305265,2.3799699950171053e-45
30.987912078415686,3.238888358518424e-45
31.140512630526107,4.4057333393283393e-45
31.293113182636528,5.990156498907752e-45
31.445713734746953,8.140589634101692e-45
31.598314286857374,1.1057865127038217e-44
31.750914838967795,1.501358637320793e-44
31.90351539107822,2.0374893032721842e-44
32.05611594318864,2.7637831216763256e-44
32.20871649529906,3.7472296993057815e-44
32.36131704740948,5.078253809609812e-44
32.5139175995199,6.87885607376812e-44
32.66651815163033,9.313561248132559e-44
32.81911870374075,1.260413538342948e-43
32.97171925585117,1.7049359805740553e-43
33.12431980796159,2.3051586742658313e-43
33.27692036007201,3.1152385361793526e-43
33.42952091218243,4.2080367133383904e-43
33.58212146429286,5.681532118882376e-43
33.73472201640328,7.667418077595417e-43
33.8873225685137,1.0342619680334606e-42
34.039923120624124,1.3944716776428644e-42
34.192523672734545,1.8792587160354687e-42
34.345124224844966,2.531402360347276e-42
34.49772477695539,3.408266301182435e-42
34.650325329065815,4.5867344014765996e-42
34.802925881176236,6.169804417577315e-42
34.95552643328666,8.295392389801354e-42
35.10812698539708,1.1148083243865914e-41
35.2607275375075,1.4974805985547738e-41
35.41332808961792,2.0105734255790592e-41
35.56592864172834,2.698214078862108e-41
35.71852919383877,3.619350165568463e-41
35.87112974594919,4.852689825685389e-41
36.02373029805961,6.503276149185746e-41
36.17633085017003,8.711232220043706e-41
36.32893140228045,1.1663387874838917e-40
36.481531954390874,1.5608730368789882e-40
36.6341325065013,2.08789267512046e-40
36.78673305861172,2.791556968688725e-40
36.939333610722144,3.730633209398304e-40
37.091934162832565,4.9832920602912165e-40
37.244534714942986,6.653464781683822e-40
37.39713526705341,8.879267013600685e-40
37.54973581916383,1.1844155543202884e-39
37.70233637127426,1.579169765364513e-39
37.85493692338468,2.1045113439873036e-39
38.0075374754951,2.803312115719189e-39
38.16013802760552,3.7324102142810866e-39
38.31273857971594,4.967124170483094e-39
38.46533913182636,6.60721435545228e-39
38.61793968393679,8.784752067150797e-39
38.77054023604721,1.1674501716485388e-38
38.92314078815763,1.550761213274317e-38
39.07574134026805,2.0589663041180936e-38
39.228341892378474,2.7324440666560854e-38
39.380942444488895,3.6245246224989275e-38
39.533542996599316,4.805610417825335e-38
39.686143548709744,6.368597452177017e-38
39.838744100820165,8.436003852793926e-38
39.991344652930586,1.1169338999623273e-37
40.14394520504101,1.478141150488301e-37
40.29654575715143,1.9552490124804924e-37
40.44914630926185,2.5851513545636576e-37
40.60174686137228,3.4163913003899663e-37
40.7543474134827,4.512809196971969e-37
40.90694796559312,5.958323357243351e-37
41.05954851770354,7.863192317240131e-37
