E(cm-1),I
0.01,6.184560192055017e-182
0.2100380076015203,1.3997481437905323e-181
0.4100760152030406,3.1655079760551695e-181
0.610114022804561,7.153018633601538e-181
0.8101520304060812,1.6150565483028404e-180
1.0101900380076014,3.6436658472579993e-180
1.210228045609122,8.21375573077773e-180
1.4102660532106421,1.8501096008325894e-179
1.6103040608121624,4.163950545605984e-179
1.8103420684136826,9.36410125634735e-179
2.0103800760152026,2.1041615089942744e-178
2.210418083616723,4.724376220892023e-178
2.4104560912182436,1.0598936990003901e-177
2.6104940988197636,2.3759241834831235e-177
2.810532106421284,5.32175991715343e-177
3.010570114022804,1.1910511440022946e-176
3.2106081216243245,2.6635323468696264e-176
3.410646129225845,5.951658070151934e-176
3.610684136827365,1.328832991562681e-175
3.8107221444288855,2.964526001572385e-175
4.0107601520304055,6.608342718337702e-175
4.210798159631926,1.4719134865670158e-174
4.410836167233446,3.275853289649935e-174
4.610874174834967,7.284823512917592e-174
4.810912182436487,1.6186988505165404e-173
5.010950190038007,3.593896073595106e-173
5.210988197639527,7.972919928886083e-173
5.411026205241048,1.7673465774026158e-172
5.611064212842568,3.914519638405977e-172
5.811102220444089,8.663385931349705e-172
6.011140228045608,1.9157960752340128e-171
6.211178235647129,4.233146797610763e-171
6.411216243248649,9.346086832555392e-171
6.61125425085017,2.0618104022101002e-170
6.81129225845169,4.544855434537678e-170
7.01133026605321,1.0010225315523786e-169
7.21136827365473,2.2030282421764588e-169
7.411406281256251,4.8444971958244034e-169
7.611444288857771,1.0644610761696801e-168
7.811482296459292,2.337024655431056e-168
8.011520304060811,5.126833759010574e-168
8.211558311662332,1.1237963285637199e-167
8.411596319263852,2.461378568434364e-167
8.611634326865373,5.386685908350938e-167
8.811672334466893,1.1779241440232754e-166
9.011710342068413,2.573744470579349e-166
9.211748349669934,5.619089659872675e-166
9.411786357271454,1.2257980595501939e-165
9.611824364872975,2.6719254062742156e-165
9.811862372474494,5.819452957630102e-165
10.011900380076014,1.2664627674332144e-164
10.211938387677534,2.7539441187724104e-164
10.411976395279055,5.983706082396797e-164
10.612014402880575,1.2990857374765303e-163
10.812052410482096,2.818109142074791e-163
11.012090418083616,6.108438915171372e-163
11.212128425685137,1.3229855296415676e-162
11.412166433286657,2.863072761277246e-162
11.612204440888178,6.191018598511998e-162
11.812242448489696,1.3376554536769178e-161
12.012280456091217,2.887878069438565e-161
12.212318463692737,6.2296819283679624e-161
12.412356471294258,1.3427814287957417e-160
12.612394478895778,2.8919928266547586e-160
12.812432486497299,6.223597948699111e-160
13.01247049409882,1.3382531642391418e-159
13.21250850170034,2.8753284481078286e-159
13.41254650930186,6.172897645334555e-159
13.61258451690338,1.3241681048589213e-158
13.812622524504901,2.8382431749668403e-158
14.01266053210642,6.078669257094109e-158
14.21269853970794,1.3008279445731532e-157
14.41273654730946,2.7815292696279308e-157
14.612774554910981,5.942919438579765e-157
14.812812562512502,1.2687278819292375e-156
15.012850570114022,2.7063848745064806e-156
15.212888577715542,5.768502210458423e-156
15.412926585317063,1.2285391522001875e-155
15.612964592918583,2.6143719304599204e-155
15.813002600520104,5.559019210660474e-155
16.013040608121624,1.1810856965537827e-154
16.213078615723145,2.5073622188735946e-154
16.413116623324665,5.318696114723786e-154
16.613154630926186,1.1273161005564741e-153
16.813192638527706,2.3874741296207853e-153
17.013230646129227,5.052241143553039e-153
17.213268653730747,1.0682721355539597e-152
17.413306661332268,2.2570031343586027e-152
17.613344668933788,4.764692263735845e-152
17.81338267653531,1.0050553565332134e-151
18.01342068413683,2.1183491420706417e-151
18.21345869173835,4.4612599775713034e-151
18.41349669933987,9.387932442229886e-151
18.61353470694139,1.9739439256690795e-150
18.81357271454291,4.1471724946425065e-150
19.01361072214443,8.706063288545488e-150
19.21364872974595,1.8261816423001761e-149
19.41368673734747,3.827529598976875e-149
19.61372474494899,8.01577605486242e-149
19.81376275255051,1.6773551451745678e-148
20.01380076015203,3.507170725310548e-148
20.21383876775355,7.327253582687102e-148
20.41387677535507,1.5296003306735333e-147
20.61391478295659,3.1905617037429315e-147
20.813952790558112,6.649802695384016e-147
21.013990798159632,1.3848502176127564e-146
21.214028805761153,2.8817034064307117e-146
21.414066813362673,5.991674174519969e-146
21.614104820964194,1.2447998563238845e-145
21.814142828565714,2.5840642210493443e-145
22.014180836167235,5.359934821318459e-145
22.214218843768755,1.1108825545254652e-144
22.414256851370276,2.3005369707741232e-144
22.614294858971796,4.760392033444398e-144
22.814332866573316,9.842573233127176e-144
23.014370874174837,2.0334196790462626e-143
23.214408881776357,4.197568789423455e-143
23.414446889377878,8.658069231590228e-143
23.614484896979395,1.7844185063027874e-142
23.814522904580915,3.674724759264348e-142
24.014560912182436,7.561454526517938e-142
24.214598919783956,1.5546703152563006e-141
24.414636927385477,3.1939175454607813e-141
24.614674934986997,6.556340893409226e-141
24.814712942588518,1.344781682846223e-140
25.014750950190038,2.756096857583685e-140
25.21478895779156,5.644033712939852e-140
25.41482696539308,1.1548807830838006e-139
25.6148649729946,2.361223749980885e-139
25.81490298059612,4.823802999047666e-139
26.01494098819764,9.846784103965985e-139
26.21497899579916,2.008406882317333e-138
26.41501700340068,4.093185418341128e-138
26.6150550110022,8.335344771034197e-138
26.815093018603722,1.6960480431540133e-137
27.015131026205243,3.448300972173432e-137
27.215169033806763,7.005265688103197e-137
27.415207041408284,1.4219898305640936e-136
27.615245049009804,2.88416964696578e-136
27.81528305661132,5.8451753731616595e-136
28.01532106421284,1.18365932003347e-135
28.215359071814362,2.395015511996089e-135
28.415397079415882,4.8421960765418416e-135
28.615435087017403,9.7820267187426e-135
28.815473094618923,1.9745482486662627e-134
29.015511102220444,3.9825302959617947e-134
29.215549109821964,8.026068436545586e-134
29.415587117423485,1.6162147323477225e-133
29.615625125025005,3.2519787285852236e-133
29.815663132626526,6.538057918348195e-133
30.015701140228046,1.3134158810455166e-132
30.215739147829566,2.636381134591016e-132
30.415777155431087,5.2876969848969394e-132
30.615815163032607,1.0596863896223641e-131
30.815853170634128,2.1219765758206847e-131
31.01589117823565,4.245767877244597e-131
31.21592918583717,8.48837076075508e-131
31.41596719343869,1.6956837834947536e-130
31.61600520104021,3.3846816379610653e-130
31.81604320864173,6.750613074216781e-130
32.01608121624324,1.3453058768609936e-129
32.216119223844764,2.6788678793974686e-129
32.416157231446284,5.3300831338199956e-129
32.616195239047805,1.0596662515264657e-128
32.816233246649325,2.105022080230003e-128
33.016271254250846,4.1782713460126204e-128
33.216309261852366,8.2868419880738e-128
33.41634726945389,1.6422297202913953e-127
33.61638527705541,3.2518551296833728e-127
33.81642328465693,6.4339977375755645e-127
34.01646129225845,1.271988106518452e-126
34.21649929985997,2.512682584089447e-126
34.41653730746149,4.959577042025837e-126
34.61657531506301,9.781469041537026e-126
34.81661332266453,1.9275957531965866e-125
35.01665133026605,3.7955985255071695e-125
35.21668933786757,7.467874485567401e-125
35.41672734546909,1.4681356453892517e-124
35.61676535307061,2.8839504121818446e-124
35.81680336067213,5.6605916515149635e-124
36.01684136827365,1.1101669566351246e-123
36.21687937587517,2.1755406337098396e-123
36.416917383476694,4.259891465034603e-123
36.616955391078214,8.334552783924041e-123
36.816993398679735,1.6293654422374453e-122
37.017031406281255,3.1827837562412074e-122
37.217069413882776,6.21223959304869e-122
37.417107421484296,1.2115509817255004e-121
37.61714542908582,2.360954529058714e-121
37.81718343668734,4.597121521775176e-121
38.01722144428886,8.944102711260876e-121
38.21725945189038,1.738761454047514e-120
38.4172974594919,3.377502368953496e-120
38.61733546709341,6.555468774195428e-120
38.81737347469493,1.27134750808774e-119
39.01741148229645,2.4636399139915202e-119
